UID          PID    PPID  C STIME TTY          TIME CMD
nathani+    1233     724  0 19:08 ?        00:00:00 /usr/libexec/gsd-usb-protection
nathani+    1234     724  0 19:08 ?        00:00:00 /usr/libexec/gsd-wacom
nathani+    1239     724  0 19:08 ?        00:00:00 /usr/bin/spice-vdagent
root        1247       1  0 19:08 ?        00:00:00 /usr/sbin/spice-vdagentd
nathani+    1251     724  0 19:08 ?        00:00:00 /usr/libexec/gsd-wwan
nathani+    1259     724  0 19:08 ?        00:00:00 /usr/libexec/gsd-xsettings
nathani+    1265    1071  0 19:08 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
nathani+    1291    1071  0 19:08 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
colord      1337       1  0 19:08 ?        00:00:00 /usr/libexec/colord
nathani+    1342     724  0 19:08 ?        00:00:00 /usr/libexec/gsd-printer
nathani+    1374    1115  0 19:08 ?        00:00:00 /usr/libexec/ibus-engine-simple
nathani+    1762     724  0 19:08 ?        00:00:00 /usr/bin/gnome-calendar --gapplication-service
nathani+    1764     724  0 19:08 ?        00:00:00 /usr/bin/seahorse --gapplication-service
nathani+    1765     724  0 19:08 ?        00:00:00 /usr/libexec/gnome-terminal-server
nathani+    1844    1765  0 19:08 pts/0    00:00:00 bash
nathani+    3514    1071  0 19:09 ?        00:00:00 update-notifier
nathani+    3644     724  0 19:09 ?        00:00:02 /usr/bin/python3 /usr/bin/update-manager --no-update --no-focus-on-map
root        3780       2  0 19:14 ?        00:00:00 [kworker/0:0-events]
root        3781       2  0 19:15 ?        00:00:00 [kworker/u4:0-events_unbound]
nathani+    3786    1087  3 19:17 ?        00:00:07 /snap/snap-store/547/usr/bin/snap-store
nathani+    3807     724  0 19:17 ?        00:00:00 /usr/libexec/xdg-document-portal
nathani+    3985     724  0 19:17 ?        00:00:00 /usr/libexec/xdg-desktop-portal
nathani+    3989     724  0 19:17 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
root        4002       1  0 19:17 ?        00:00:01 /usr/libexec/fwupd/fwupd
root        4026       1  0 19:17 ?        00:00:00 gpg-agent --homedir /var/lib/fwupd/gnupg --use-standard-socket --daemon
root        4041       2  0 19:17 ?        00:00:00 [kworker/u4:1-events_unbound]
root        4042       1  2 19:17 ?        00:00:04 /usr/lib/packagekit/packagekitd
root        4945       1  0 19:18 ?        00:00:00 /bin/sh /etc/cron.weekly/update-notifier-common
root        4947    4945  0 19:18 ?        00:00:00 sleep 2356
root        5541       2  0 19:20 ?        00:00:00 [kworker/1:0-events]
nathani+    5542    1844  0 19:20 pts/0    00:00:00 ps -ef
